type,words,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,a_l2_req,a_l2_hit,a_l1_req,a_l1_hit,b_l2_req,b_l2_hit,b_l1_req,b_l1_hit,c_l2_req,c_l2_hit
L1blk,16,4,1,1.97805,0.00355,4.43721,0.00236,16539,31995,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,3,1.68192,0.00492,4.44835,0.02618,17316,32020,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,5,1.72348,0.00503,4.43326,0.00194,17274,32177,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,7,1.78421,0.00634,4.4543,0.03514,17306,32223,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,9,1.87008,0.00638,4.46515,0.02171,18461,32235,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,11,1.94847,0.00452,4.46459,0.02928,19108,32407,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,13,2.0273,0.0061,4.45074,0.00759,19181,32515,9,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,15,2.09775,0.00713,4.44599,0.01406,17138,28446,39,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,17,2.18453,0.0066,4.43983,0.00844,16972,28489,39,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,4,19,2.26079,0.00866,4.45959,0.02678,18753,30571,39,12,524288,0,134217728,133693440,8192,0,33554432,33546240,16777216,16252928
L1blk,16,8,7,1.39704,0.00425,4.43144,0.00444,18463,31133,69,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,9,1.42605,0.00613,4.4385,0.00288,18686,31181,69,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,11,1.47665,0.00367,4.44603,0.0109,18840,31228,69,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,13,1.50866,0.00677,4.45437,0.01118,21475,31298,69,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,15,1.55424,0.0024,4.46983,0.01226,23325,35496,69,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,17,1.58487,0.0048,4.46894,0.00178,23129,35488,77,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,8,19,1.63334,0.0051,4.47669,0.00874,23132,35478,77,24,524288,0,134217728,133693440,8192,0,16777216,16769024,16777216,16252928
L1blk,16,16,3,1.20574,0.00652,4.58366,0.01428,39137,53347,9,48,524288,0,134217728,133693440,8192,0,8388608,8380416,16777216,16252928
L1blk,16,16,15,1.26973,0.00714,4.56623,0.01914,31908,45405,145,48,524288,0,134217728,133693440,8192,0,8388608,8380416,16777216,16252928
L1blk,16,16,17,1.282,0.00603,4.57416,0.04739,28976,43499,145,48,524288,0,134217728,133693440,8192,0,8388608,8380416,16777216,16252928
L1blk,32,1,1,2.22195,0.00777,4.51222,0.03593,22814,44747,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,3,2.38364,0.00861,4.51317,0.0192,24265,44782,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,5,2.46224,0.00796,4.51527,0.00817,24265,44805,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,7,2.5884,0.00985,4.51942,0.02565,24323,44834,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,9,2.74753,0.00656,4.51398,0.01266,24399,44854,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,11,2.91127,0.00505,4.50685,0.0023,24562,44877,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,13,3.07483,0.00784,4.51034,0.015,25744,44963,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,15,3.24343,0.00833,4.51361,0.01066,25811,44967,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,17,3.40845,0.0058,4.50816,0.00316,25781,45004,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,1,19,3.57224,0.00705,4.50766,0.00219,25790,45035,51,3,131072,0,134217728,133693440,4096,0,134217728,134213632,8388608,8257536
L1blk,32,2,1,1.44414,0.00093,4.51667,0.02105,25674,50087,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,3,1.39817,0.00549,4.55798,0.0528,25728,48054,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,5,1.43976,0.00837,4.52716,0.00374,25797,48014,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,7,1.50243,0.00232,4.53426,0.01563,25950,48096,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,9,1.57562,0.00208,4.53013,0.00717,26303,48121,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,11,1.66,0.00909,4.53688,0.01256,25794,48168,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,13,1.74568,0.00892,4.53239,0.02353,26339,48253,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,15,1.82383,0.00754,4.53529,0.01292,28723,48314,52,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,17,1.90786,0.00553,4.53593,0.01566,27656,46305,81,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,2,19,1.98474,0.00427,4.53816,0.02597,27662,46335,81,6,131072,0,134217728,133693440,4096,0,67108864,67104768,8388608,8257536
L1blk,32,4,1,1.03546,0.00504,4.55203,0.018,32944,53523,52,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,3,0.88488,0.00639,4.55798,0.00574,33646,53548,52,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,5,0.904,0.00386,4.57699,0.0035,35016,53726,52,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,7,0.93108,0.00696,4.57735,0.01726,33780,53735,52,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,9,0.97284,0.00602,4.56924,0.00247,31388,49699,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,11,1.00597,0.0029,4.59235,0.02926,31439,49731,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,13,1.05631,0.00514,4.5915,0.01183,33941,49876,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,15,1.09528,0.00664,4.56691,0.00383,31455,49844,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,17,1.13629,0.00718,4.56221,0.00402,31131,49870,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,4,19,1.17896,0.00687,4.58016,0.02593,31935,49919,110,12,131072,0,134217728,133693440,4096,0,33554432,33550336,8388608,8257536
L1blk,32,8,7,1.38379,0.00566,4.50647,0.0048,41607,58732,168,24,131072,0,134217728,133693440,4096,0,16777216,16773120,8388608,8257536
L1blk,32,16,3,0.51629,0.00161,4.6836,0.04402,58515,81863,211.5,48,131072,0,134217728,133693440,4096,0,8388608,8384512,8388608,8257536
L1blk,64,1,3,1.84643,0.00808,4.67004,0.01463,61079,83174,93.5,3,32768,0,134217728,133693440,2048,0,134217728,134215680,4194304,4161536
L1blk,64,2,5,1.04011,0.00769,4.68678,0.01106,58896,90656,94.5,6,32768,0,134217728,133693440,2048,0,67108864,67106816,4194304,4161536
